Depth (m)       Salinity (PSU)      Temperature (Celsius)
0               17.956              24.227
5               17.996              24.277
10              17.996              24.233
15              17.996              24.056
20              18.099              23.525
25              18.080              22.994
30              18.145              20.870
35              18.195              21.401
40              18.264              21.932
45              18.324              22.463
50              18.394              20.339
55              18.493              19.808
60              18.613              19.277
65              18.732              17.684
70              18.842              18.215
75              18.932              18.746
80              19.031              17.153
85              19.151              16.622
90              19.270              16.091
95              19.389              15.560
100             19.509              15.029
105             19.628              14.498
110             19.748              13.967
115             19.867              13.436
120             19.987              12.905
125             20.106              12.374
130             20.226              11.843
135             20.345              11.312
140             20.445              10.754
145             20.534              10.250
150             20.634              9.7192
