Depth (m)      	Salinity (PSU) 	Temperature (Celsius)	Density(kg/m^3)
0.0            	17.956         	24.227              	1010.7161
5.0            	17.996         	24.277              	1010.7320
10.0           	17.996         	24.233              	1010.7446
15.0           	17.996         	24.056              	1010.7949
20.0           	18.099         	23.525              	1011.0218
25.0           	18.08          	22.994              	1011.1534
30.0           	18.145         	20.87               	1011.7565
35.0           	18.195         	21.401              	1011.6605
40.0           	18.264         	21.932              	1011.5758
45.0           	18.324         	22.463              	1011.4812
50.0           	18.394         	20.339              	1012.0768
55.0           	18.493         	19.808              	1012.2803
60.0           	18.613         	19.277              	1012.4970
65.0           	18.732         	17.684              	1012.9462
70.0           	18.842         	18.215              	1012.9136
75.0           	18.932         	18.746              	1012.8627
80.0           	19.031         	17.153              	1013.2885
85.0           	19.151         	16.622              	1013.4913
90.0           	19.27          	16.091              	1013.6905
95.0           	19.389         	15.56               	1013.8869
100.0          	19.509         	15.029              	1014.0813
105.0          	19.628         	14.498              	1014.2722
110.0          	19.748         	13.967              	1014.4610
115.0          	19.867         	13.436              	1014.6462
120.0          	19.987         	12.905              	1014.8294
125.0          	20.106         	12.374              	1015.0090
130.0          	20.226         	11.843              	1015.1865
135.0          	20.345         	11.312              	1015.3604
140.0          	20.445         	10.754              	1015.5205
145.0          	20.534         	10.25               	1015.6613
150.0          	20.634         	9.7192              	1015.8116
