#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 12 01 00 00 336  3.0  4.2 99.00 99.00 99.00 999 1019.3 999.0  13.7 999.0 99.0 99.00 
2021 12 01 00 10 341  2.4  3.4 99.00 99.00 99.00 999 1019.3 999.0  13.7 999.0 99.0 99.00 
2021 12 01 00 20 330  2.6  3.7 99.00 99.00 99.00 999 1019.1 999.0  13.7 999.0 99.0 99.00 
2021 12 01 00 30 321  2.3  3.4 99.00 99.00 99.00 999 1019.0 999.0  13.7 999.0 99.0 99.00 
2021 12 01 00 40 325  1.9  3.1  2.10 12.90  7.75 285 1019.0 999.0  13.6 999.0 99.0 99.00 
2021 12 01 00 50 328  2.5  3.8 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 00 321  2.7  3.7 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 10 318  2.9  4.3 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 20 325  3.3  4.3 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 30 325  3.4  4.5 99.00 99.00 99.00 999 1018.8 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 40 323  3.7  4.9  2.19 13.79  8.26 274 1018.7 999.0  13.6 999.0 99.0 99.00 
2021 12 01 01 50 324  3.5  4.5 99.00 99.00 99.00 999 1018.8 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 00 325  4.1  6.0 99.00 99.00 99.00 999 1018.8 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 10 322  4.2  5.4 99.00 99.00 99.00 999 1018.9 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 20 334  3.7  5.0 99.00 99.00 99.00 999 1019.0 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 30 339  3.8  4.9 99.00 99.00 99.00 999 1019.0 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 40 333  3.8  4.9  2.08 13.79  8.14 275 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 02 50 332  3.7  4.8 99.00 99.00 99.00 999 1019.2 999.0  13.5 999.0 99.0 99.00 
2021 12 01 03 00 329  3.7  4.8 99.00 99.00 99.00 999 1019.2 999.0  13.5 999.0 99.0 99.00 
2021 12 01 03 10 326  3.8  5.1 99.00 99.00 99.00 999 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 03 20 331  3.5  5.0 99.00 99.00 99.00 999 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 03 30 331  2.7  3.9 99.00 99.00 99.00 999 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 03 40 341  3.0  4.1  1.94 12.90  7.75 282 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 03 50 337  3.1  4.0 99.00 99.00 99.00 999 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 00 331  2.9  3.8 99.00 99.00 99.00 999 1019.2 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 10 318  2.7  3.9 99.00 99.00 99.00 999 1019.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 20 316  2.7  3.9 99.00 99.00 99.00 999 1019.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 30 305  2.2  3.3 99.00 99.00 99.00 999 1019.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 40 299  2.0  2.9  2.07 12.90  8.14 292 1019.5 999.0  13.6 999.0 99.0 99.00 
2021 12 01 04 50 306  1.7  2.8 99.00 99.00 99.00 999 1019.5 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 00 296  1.9  3.3 99.00 99.00 99.00 999 1019.5 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 10 309  2.5  3.5 99.00 99.00 99.00 999 1019.5 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 20 302  2.7  3.9 99.00 99.00 99.00 999 1019.6 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 30 307  2.9  4.3 99.00 99.00 99.00 999 1019.6 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 40 314  2.7  3.6  1.93 12.12  8.07 275 1019.7 999.0  13.6 999.0 99.0 99.00 
2021 12 01 05 50 315  2.8  3.8 99.00 99.00 99.00 999 1019.6 999.0  13.6 999.0 99.0 99.00 
2021 12 01 06 00 317  2.5  3.4 99.00 99.00 99.00 999 1019.6 999.0  13.6 999.0 99.0 99.00 
2021 12 01 06 10 312  2.3  3.2 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 06 20 313  2.2  3.3 99.00 99.00 99.00 999 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 06 30 316  2.5  3.5 99.00 99.00 99.00 999 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 06 40 321  2.4  3.3  2.03 13.79  8.06 272 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 06 50 313  2.1  3.3 99.00 99.00 99.00 999 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 00 319  2.4  3.2 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 10 327  2.6  3.7 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 20 326  2.3  3.5 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 30 316  2.6  3.7 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 40 320  2.6  3.8  2.01 12.12  7.99 275 1019.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 07 50 340  2.5  3.4 99.00 99.00 99.00 999 1019.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 00 352  2.5  3.4 99.00 99.00 99.00 999 1019.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 10 348  2.2  3.2 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 20 344  1.7  2.7 99.00 99.00 99.00 999 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 30   2  1.0  2.3 99.00 99.00 99.00 999 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 40 352  0.7  1.8  2.05 12.12  7.99 283 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 08 50   4  0.6  1.3 99.00 99.00 99.00 999 1019.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 09 00 330  1.0  2.2 99.00 99.00 99.00 999 1019.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 09 10 351  1.8  2.5 99.00 99.00 99.00 999 1019.3 999.0  13.5 999.0 99.0 99.00 
2021 12 01 09 20   3  1.6  2.3 99.00 99.00 99.00 999 1019.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 09 30  24  1.4  2.1 99.00 99.00 99.00 999 1019.4 999.0  13.4 999.0 99.0 99.00 
2021 12 01 09 40  20  1.9  3.0  2.18 12.90  7.94 277 1019.3 999.0  13.4 999.0 99.0 99.00 
2021 12 01 09 50  32  2.0  2.9 99.00 99.00 99.00 999 1019.4 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 00 338  1.1  2.3 99.00 99.00 99.00 999 1019.3 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 10 315  1.4  2.0 99.00 99.00 99.00 999 1019.3 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 20 321  1.0  2.0 99.00 99.00 99.00 999 1019.4 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 30 326  1.6  2.7 99.00 99.00 99.00 999 1019.3 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 40 345  1.0  2.2  2.06 11.43  7.63 290 1019.2 999.0  13.4 999.0 99.0 99.00 
2021 12 01 10 50   7  0.8  1.7 99.00 99.00 99.00 999 1019.1 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 00  24  1.2  3.0 99.00 99.00 99.00 999 1019.1 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 10  70  3.2  5.0 99.00 99.00 99.00 999 1018.9 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 20  69  2.6  4.3 99.00 99.00 99.00 999 1018.9 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 30  58  1.7  3.3 99.00 99.00 99.00 999 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 40  60  3.5  5.3  2.28 12.90  7.93 284 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 11 50  61  3.3  4.6 99.00 99.00 99.00 999 1018.6 999.0  13.4 999.0 99.0 99.00 
2021 12 01 12 00  67  4.1  5.5 99.00 99.00 99.00 999 1018.4 999.0  13.4 999.0 99.0 99.00 
2021 12 01 12 10  75  5.3  7.2 99.00 99.00 99.00 999 1018.3 999.0  13.5 999.0 99.0 99.00 
2021 12 01 12 20  71  5.6  7.7 99.00 99.00 99.00 999 1018.2 999.0  13.5 999.0 99.0 99.00 
2021 12 01 12 30  74  5.3  7.1 99.00 99.00 99.00 999 1018.3 999.0  13.5 999.0 99.0 99.00 
2021 12 01 12 40  71  5.0  7.0  1.98 12.12  7.66 279 1018.2 999.0  13.5 999.0 99.0 99.00 
2021 12 01 12 50  67  5.1  7.2 99.00 99.00 99.00 999 1018.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 00  67  5.3  6.8 99.00 99.00 99.00 999 1018.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 10  75  5.1  7.3 99.00 99.00 99.00 999 1018.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 20  77  3.9  5.9 99.00 99.00 99.00 999 1018.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 30  76  3.5  5.4 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 40  69  4.4  6.0  2.02 12.90  7.19 273 1018.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 13 50  77  4.4  6.6 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 00  90  4.7  7.0 99.00 99.00 99.00 999 1018.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 10  96  3.7  6.8 99.00 99.00 99.00 999 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 20 110  3.4  6.4 99.00 99.00 99.00 999 1018.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 30  86  3.9  5.8 99.00 99.00 99.00 999 1018.8 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 40  74  3.7  5.3  1.73 12.90  6.86 290 1019.0 999.0  13.5 999.0 99.0 99.00 
2021 12 01 14 50  77  3.5  7.0 99.00 99.00 99.00 999 1018.8 999.0  13.5 999.0 99.0 99.00 
2021 12 01 15 00 104  6.5  8.6 99.00 99.00 99.00 999 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 15 10  88  8.0 10.3 99.00 99.00 99.00 999 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 15 20  85  7.9  9.9 99.00 99.00 99.00 999 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 15 30  88  7.8 10.2 99.00 99.00 99.00 999 1018.7 999.0  13.4 999.0 99.0 99.00 
2021 12 01 15 40  86  7.6  9.5  1.85 12.90  6.78 299 1018.8 999.0  13.4 999.0 99.0 99.00 
2021 12 01 15 50  91  6.9  9.1 99.00 99.00 99.00 999 1019.0 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 00  87  7.4  9.5 99.00 99.00 99.00 999 1019.0 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 10  92  7.1  9.2 99.00 99.00 99.00 999 1019.2 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 20  91  6.9  8.9 99.00 99.00 99.00 999 1019.3 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 30  92  6.7  8.5 99.00 99.00 99.00 999 1019.4 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 40  88  6.8  8.6  1.78 12.12  6.87 276 1019.5 999.0  13.4 999.0 99.0 99.00 
2021 12 01 16 50  93  6.0  8.0 99.00 99.00 99.00 999 1019.7 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 00  88  6.2  8.1 99.00 99.00 99.00 999 1019.6 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 10  81  7.1  8.9 99.00 99.00 99.00 999 1019.6 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 20  82  6.4  8.9 99.00 99.00 99.00 999 1019.9 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 30  62  4.0  6.9 99.00 99.00 99.00 999 1020.0 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 40  67  3.2  4.8  1.64 11.43  6.57 282 1020.1 999.0  13.4 999.0 99.0 99.00 
2021 12 01 17 50  65  3.2  5.1 99.00 99.00 99.00 999 1020.1 999.0  13.4 999.0 99.0 99.00 
2021 12 01 18 00  82  5.0  6.8 99.00 99.00 99.00 999 1020.0 999.0 999.0 999.0 99.0 99.00 
2021 12 01 18 10  89  5.4  7.0 99.00 99.00 99.00 999 1019.9 999.0  13.4 999.0 99.0 99.00 
2021 12 01 18 20  83  6.1  7.9 99.00 99.00 99.00 999 1019.7 999.0  13.4 999.0 99.0 99.00 
2021 12 01 18 30  87  5.7  7.3 99.00 99.00 99.00 999 1019.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 18 40  89  6.4  8.5  1.67 12.12  6.67 290 1019.6 999.0  13.5 999.0 99.0 99.00 
2021 12 01 18 50  88  6.0  7.8 99.00 99.00 99.00 999 1019.5 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 00  90  6.1  7.5 99.00 99.00 99.00 999 1019.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 10  90  6.3  7.7 99.00 99.00 99.00 999 1019.4 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 20  94  6.6  8.2 99.00 99.00 99.00 999 1019.2 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 30  89  6.2  8.4 99.00 99.00 99.00 999 1019.1 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 40  82  6.4  8.5  1.77 12.90  6.86 278 1018.9 999.0  13.5 999.0 99.0 99.00 
2021 12 01 19 50  78  6.1  7.9 99.00 99.00 99.00 999 1018.7 999.0 999.0 999.0 99.0 99.00 
2021 12 01 20 00  75  6.1  7.5 99.00 99.00 99.00 999 1018.7 999.0  13.5 999.0 99.0 99.00 
2021 12 01 20 10  81  5.5  6.8 99.00 99.00 99.00 999 1018.6 999.0  13.6 999.0 99.0 99.00 
2021 12 01 20 20  84  5.5  7.1 99.00 99.00 99.00 999 1018.5 999.0  13.6 999.0 99.0 99.00 
2021 12 01 20 30  81  5.8  7.1 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 20 40  78  5.1  6.8  1.47 10.81  6.09 272 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 20 50  59  3.8  5.8 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
2021 12 01 21 00  43  3.3  4.1 99.00 99.00 99.00 999 1018.2 999.0  13.6 999.0 99.0 99.00 
