#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 02 01 00 00 321  8.2 10.0 99.00 99.00 99.00 999 1020.4 999.0  12.2 999.0 99.0 99.00 
2022 02 01 00 10 319  7.7  9.7 99.00 99.00 99.00 999 1020.5 999.0  12.2 999.0 99.0 99.00 
2022 02 01 00 20 318  8.5 10.6 99.00 99.00 99.00 999 1020.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 00 30 318  8.8 11.1 99.00 99.00 99.00 999 1020.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 00 40 317  8.7 11.2  2.47 14.81  6.47 278 1020.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 00 50 317  8.6 10.8 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 00 315  9.4 11.7 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 10 319  9.6 12.1 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 20 319  9.8 12.3 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 30 319  9.1 11.5 99.00 99.00 99.00 999 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 40 323  9.1 11.1  2.31 14.81  6.15 287 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 01 50 320  9.2 11.4 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 00 320  9.5 11.5 99.00 99.00 99.00 999 1019.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 10 325  9.3 11.9 99.00 99.00 99.00 999 1019.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 20 324  9.5 12.0 99.00 99.00 99.00 999 1019.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 30 324  9.3 12.3 99.00 99.00 99.00 999 1019.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 40 327  9.7 12.2  2.55 14.81  6.31 291 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 02 50 324 10.6 14.3 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 00 322 10.8 13.4 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 10 323 10.1 12.6 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 20 322 10.3 13.4 99.00 99.00 99.00 999 1019.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 30 326 10.4 13.3 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 40 329 10.9 13.0  2.62  8.33  6.35 306 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 03 50 323 10.7 12.8 99.00 99.00 99.00 999 1019.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 00 328 10.9 13.8 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 10 327 10.9 13.1 99.00 99.00 99.00 999 1019.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 20 323 10.6 13.0 99.00 99.00 99.00 999 1019.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 30 326 11.8 15.7 99.00 99.00 99.00 999 1019.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 40 327 11.9 14.8  2.86  9.09  6.70 304 1019.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 04 50 324 11.6 14.6 99.00 99.00 99.00 999 1019.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 00 328 11.2 14.1 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 10 328 10.7 13.7 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 20 328 11.0 13.3 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 30 329  9.9 13.4 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 40 332  9.4 12.5  3.06 13.79  6.89 289 1019.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 05 50 329  8.9 12.0 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 00 334  8.9 10.9 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 10 331  8.8 11.0 99.00 99.00 99.00 999 1019.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 20 329  8.8 11.0 99.00 99.00 99.00 999 1019.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 30 322  9.1 11.6 99.00 99.00 99.00 999 1019.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 40 327  9.1 11.6  3.26 10.00  7.15 298 1019.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 06 50 326  9.4 11.9 99.00 99.00 99.00 999 1018.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 00 329  9.9 12.4 99.00 99.00 99.00 999 1018.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 10 325  9.9 12.7 99.00 99.00 99.00 999 1018.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 20 327 10.2 12.4 99.00 99.00 99.00 999 1018.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 30 325  9.9 12.2 99.00 99.00 99.00 999 1018.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 40 329  9.6 12.2  2.99 10.00  6.98 295 1018.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 07 50 324  9.8 11.7 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 00 327  9.5 11.6 99.00 99.00 99.00 999 1018.7 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 10 326 10.0 12.4 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 20 328  9.6 12.5 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 30 326  8.7 10.9 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 40 327  8.7 10.8  3.21  9.09  7.25 301 1018.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 08 50 329  8.0 10.7 99.00 99.00 99.00 999 1018.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 09 00 329  7.9 10.2 99.00 99.00 99.00 999 1018.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 09 10 325  7.5  9.7 99.00 99.00 99.00 999 1018.3 999.0  12.1 999.0 99.0 99.00 
2022 02 01 09 20 327  7.7 10.0 99.00 99.00 99.00 999 1018.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 09 30 326  8.0  9.9 99.00 99.00 99.00 999 1018.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 09 40 330  7.5  9.3  3.21 10.00  7.28 303 1018.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 09 50 330  8.2 10.6 99.00 99.00 99.00 999 1018.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 00 329  8.3 10.9 99.00 99.00 99.00 999 1018.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 10 330  8.5 10.8 99.00 99.00 99.00 999 1018.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 20 333  8.9 11.0 99.00 99.00 99.00 999 1018.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 30 335  9.3 11.2 99.00 99.00 99.00 999 1018.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 40 331  9.8 12.1  3.01 10.00  7.21 300 1018.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 10 50 330  9.8 12.0 99.00 99.00 99.00 999 1018.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 00 334  9.5 11.8 99.00 99.00 99.00 999 1018.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 10 331  9.3 11.8 99.00 99.00 99.00 999 1018.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 20 329  8.9 10.9 99.00 99.00 99.00 999 1018.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 30 330  9.8 12.1 99.00 99.00 99.00 999 1018.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 40 328  9.9 12.0  3.00  9.09  7.05 302 1018.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 11 50 325  9.8 11.7 99.00 99.00 99.00 999 1018.1 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 00 324  9.8 11.8 99.00 99.00 99.00 999 1018.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 10 322  9.9 12.6 99.00 99.00 99.00 999 1018.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 20 326  9.4 11.8 99.00 99.00 99.00 999 1017.9 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 30 329  8.6 10.5 99.00 99.00 99.00 999 1018.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 40 335  7.7  9.8  2.90 10.81  6.84 303 1018.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 12 50 336  7.2  9.0 99.00 99.00 99.00 999 1017.9 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 00 326  6.6  8.5 99.00 99.00 99.00 999 1017.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 10 328  5.6  7.3 99.00 99.00 99.00 999 1017.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 20 324  6.4  8.2 99.00 99.00 99.00 999 1017.7 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 30 334  6.5  8.4 99.00 99.00 99.00 999 1017.8 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 40 336  7.1  9.0  3.17 10.00  7.24 301 1017.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 13 50 338  7.6  9.7 99.00 99.00 99.00 999 1017.6 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 00 336  9.2 11.3 99.00 99.00 99.00 999 1017.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 10 334  9.0 11.3 99.00 99.00 99.00 999 1017.9 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 20 329  8.8 11.1 99.00 99.00 99.00 999 1017.9 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 30 332  8.3 10.4 99.00 99.00 99.00 999 1017.9 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 40 340  8.2 10.6  3.03  8.33  7.35 307 1018.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 14 50 341  8.0 10.0 99.00 99.00 99.00 999 1018.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 15 00 338  8.2 10.7 99.00 99.00 99.00 999 1018.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 15 10 342  7.4  9.1 99.00 99.00 99.00 999 1018.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 15 20 342  7.4  9.7 99.00 99.00 99.00 999 1018.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 15 30 340  7.9  9.8 99.00 99.00 99.00 999 1018.5 999.0  12.0 999.0 99.0 99.00 
